record_id,numeric_id,title,date,date_period,cote,original_url,exact_places,inferred_places,latitude,longitude,geocode_confidence,ocr_reviewed,aerial_datasets,family_id,taxonomy_category,taxonomy_themes,vlm_caption
mtl_archives_metadata_0.json,0,Rue Saint-Antoine,1920s,1920s,"VM94,SY,SS1,SSS17,D1",http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z2.jpg,,,45.511485,-73.554158,0.90963,false,,,uncertain,,
mtl_archives_metadata_1.json,1,Parc Lafontaine,1930s,1930s,"VM94,SY,SS1,SSS17,D2",http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z3-4.jpg,,old_montreal:vieux-montreal,45.502327,-73.55859,0.98,false,,,uncertain,park_green_space,
mtl_archives_metadata_10.json,10,Boulevard Saint-Laurent coin avenue des Pins,1932,1932,"VM94,SY,SS1,SSS17,D12",http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z13-1.jpg,,,,,,false,,,uncertain,,
mtl_archives_metadata_100.json,100,Construction de l’Hôtel Laurentien (angle des rues Peel et Dorchester - aujourd'hui boulevard René-Lévesque),1947,1947,"VM94,SY,SS1,SSS17,D180,P3",http://depot.ville.montreal.qc.ca/phototheque-archives/jpeg/VM94-Z181-3.jpg,,,,,,false,,,uncertain,construction,
mtl_archives_metadata_1000.json,1000,VM97-3_7P14-30.jpg,1947-1949,1947,,http://archivesdemontreal.com/greffe/vues-aeriennes-archives/jpeg/VM97-3_7P14-30.jpg,,,,,,false,aerial_1947_1949,vf-exact_asset-exact-asset-http-archivesdemontreal-com-greffe-vues-aeriennes-archives-jpeg-vm97-bf57f1fa,aerial_general,,An aerial view of a city intersection with a large building in the background.
mtl_archives_metadata_9551.json,9551,"VM97,S3,D08,P298",1966,1966,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-298.TIF,,,,,,false,aerial_1966,vf-exact_asset-exact-asset-http-depot-ville-montreal-qc-ca-vues-aeriennes-1966-vm97-3-08-298-ti-00f2a258,aerial_waterfront,waterfront,An aerial view of a city with a body of water in the background.
mtl_archives_metadata_9552.json,9552,"VM97,S3,D08,P299",1966,1966,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-299.TIF,,,,,,false,aerial_1966,vf-exact_asset-exact-asset-http-depot-ville-montreal-qc-ca-vues-aeriennes-1966-vm97-3-08-299-ti-b8ec721e,aerial_general,park_green_space,An aerial view of a farm with a road running through it.
mtl_archives_metadata_9553.json,9553,"VM97,S3,D08,P300",1966,1966,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-300.TIF,,,,,,false,aerial_1966,vf-exact_asset-exact-asset-http-depot-ville-montreal-qc-ca-vues-aeriennes-1966-vm97-3-08-300-ti-780d0e94,aerial_waterfront,waterfront,An aerial view of a lake and a town with a road running along the waterfront.
mtl_archives_metadata_9554.json,9554,"VM97,S3,D08,P301",1966,1966,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-301.TIF,,,,,,false,aerial_1966,vf-exact_asset-exact-asset-http-depot-ville-montreal-qc-ca-vues-aeriennes-1966-vm97-3-08-301-ti-8ed30f1e,document_map,waterfront,An aerial view of a city with a large body of water and a street map of the area.
mtl_archives_metadata_9555.json,9555,"VM97,S3,D08,P302",1966,1966,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-302.TIF,,,,,,false,aerial_1966,vf-exact_asset-exact-asset-http-depot-ville-montreal-qc-ca-vues-aeriennes-1966-vm97-3-08-302-ti-2a66a0e0,aerial_residential,residential,An aerial view of a city in 1966
mtl_archives_metadata_9556.json,9556,"VM97,S3,D08,P303",1966,1966,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-303.TIF,,,,,,false,aerial_1966,vf-exact_asset-exact-asset-http-depot-ville-montreal-qc-ca-vues-aeriennes-1966-vm97-3-08-303-ti-d0aeaae6,aerial_waterfront,waterfront|residential|park_green_space,"An aerial view of a residential area in Montreal, Canada, dated 1966."
mtl_archives_metadata_9557.json,9557,"VM97,S3,D08,P304",1966,1966,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-304.TIF,,,,,,false,aerial_1966,vf-exact_asset-exact-asset-http-depot-ville-montreal-qc-ca-vues-aeriennes-1966-vm97-3-08-304-ti-f27c4f34,aerial_residential,residential,An aerial view of a city street in 1966.
mtl_archives_metadata_9558.json,9558,"VM97,S3,D08,P305",1966,1966,,http://depot.ville.montreal.qc.ca/vues-aeriennes-1966/VM97-3_08-305.TIF,,,,,,false,aerial_1966,vf-exact_asset-exact-asset-http-depot-ville-montreal-qc-ca-vues-aeriennes-1966-vm97-3-08-305-ti-93056906,aerial_general,park_green_space,An aerial view of a rural area with a highway and a field.
